Category,author,Orcid-ID,institute1,institute2,institute3,institute4,acknowledgement1,acknowledgement2,acknowledgement3,acknowledgement4
selected by MA,C. Corral Van Damme,,"ESTEC, European Space Agency, 2201AZ, Noordwijk, NL",,,,,,,
selected by MA,C. Reimers,,"Department of Astrophysics, University of Vienna, Tuerkenschanzstrasse 17, 1180 Vienna, Austria",,,,,,,
selected by MA,D. Wolter,,"Institute of Planetary Research, German Aerospace Center (DLR), Rutherfordstrasse 2, 12489 Berlin, Germany",,,,,,,
selected by MA,F. Ratti,,"ESTEC, European Space Agency, 2201AZ, Noordwijk, NL",,,,,,,
selected by MA,F. Verrecchia,,"Space Science Data Center, ASI, via del Politecnico snc, 00133 Roma, Italy","INAF, Osservatorio Astronomico di Roma, via Frascati 33, 00078 Monte Porzio Catone, Roma, Italy",,,,,,
selected by MA,G. Di Persio,,"INAF, Istituto di Astrofisica e Planetologia Spaziali, via del Fosso del Cavaliere 100, 00133 Roma, Italy",,,,,,,
selected by MA,G. Polenta,,"Space Science Data Center, ASI, via del Politecnico snc, 00133 Roma, Italy",,,,,,,
selected by MA,H. Venus,,"Institute of Optical Sensor Systems, German Aerospace Center (DLR), Rutherfordstrasse 2, 12489 Berlin, Germany",,,,,,,
selected by MA,J. Asquier,,"ESTEC, European Space Agency, 2201AZ, Noordwijk, NL",,,,,,,
selected by MA,M. Buder,,"Institute of Optical Sensor Systems, German Aerospace Center (DLR), Rutherfordstrasse 2, 12489 Berlin, Germany",,,,,,,
ST Collaborator,A. Bonfanti,0000-0002-1916-5935,"Space Research Institute, Austrian Academy of Sciences, Schmiedlstrasse 6, A-8042 Graz, Austria",,,,,,,
ST Collaborator,A. Leleu,0000-0003-2051-7974,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland","Physikalisches Institut, University of Bern, Gesellsschaftstrasse 6, 3012 Bern, Switzerland",,,The authors acknowledge support from the Swiss NCCR PlanetS and the Swiss National Science Foundation,,,
ST Collaborator,C.M. Persson,0000-0003-1257-5146,"Department of Space, Earth and Environment, Chalmers University of Technology, Onsala Space Observatory, 43992 Onsala, Sweden",,,,,,,
ST Collaborator,G. Bou{\'e},,"IMCCE, UMR8028 CNRS, Observatoire de Paris, PSL Univ., Sorbonne Univ., 77 av. Denfert-Rochereau, 75014 Paris, France",,,,,,,
ST Collaborator,H. P. Osborn,0000-0002-4047-4724,"Center for Space and Habitability, Gesellsschaftstrasse 6, 3012 Bern, Switzerland","Department of Physics and Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA",,,,,,
ST Collaborator,J. Haldemann,,"Physikalisches Institut, University of Bern, Gesellsschaftstrasse 6, 3012 Bern, Switzerland",,,,JH acknowledges the support of the Swiss National Fund under grant 200020\_172746,,,
ST Collaborator,J.-B. Delisle,0000-0001-5844-9888,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
ST Collaborator,K. Lam,,"Institute of Planetary Research, German Aerospace Center (DLR), Rutherfordstrasse 2, 12489 Berlin, Germany",,,,,,,
ST Collaborator,M. J. Hooton,0000-0003-0030-332X,"Physikalisches Institut, University of Bern, Gesellsschaftstrasse 6, 3012 Bern, Switzerland",,,,,,,
ST Collaborator,N. C. Hara,,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
ST Collaborator,T. G. Wilson,0000-0001-8749-1962,"Centre for Exoplanet Science, SUPA School of Physics and Astronomy, University of St Andrews, North Haugh, St Andrews KY16 9SS, UK",,,,ACC and TW acknowledge support from STFC consolidated grant number ST/M001296/1,,,
ST Collaborator,V. Bourrier,,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
ST Collaborator,V. Adibekyan,,"Instituto de Astrof\'isica e Ci\^encias do Espa\c{c}o, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal",,,,,,,
ST Collaborator,B. Akinsanm,,"Instituto de Astrof\'isica e Ci\^encias do Espa\c{c}o, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal",,,,,,,
ST Collaborator,L. Borsato,,"INAF, Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, 35122 Padova, Italy",,,,,,,
ST Collaborator,G. Bruno,,"INAF, Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, 35122 Padova, Italy",,,,,,,
ST Collaborator,H-G Florén,,"Department of Astronomy, Stockholm University, AlbaNova University Center, 10691 Stockholm, Sweden",,,,,,,
ST Collaborator,Z. Garai,,"ELTE Eötvös Loránd University, Gothard Astrophysical Observatory, 9700 Szombathely, Szent Imre h. u. 112, Hungary",,,,,,,
ST Collaborator,S. Hoyer,,"LAM, Marseille, France",,,,,,,
ST Collaborator,K. Jones,,"Center for Space and Habitability, Gesellsschaftstrasse 6, 3012 Bern, Switzerland",,,,,,,
ST Collaborator,G. Lacedelli,,"INAF, Osservatorio Astronomico di Padova, Vicolo dell'Osservatorio 5, 35122 Padova, Italy",,,,,,,
ST Collaborator,Jorge Lillo- Box,,Centro de Astrobiología INTA- CSIC,,,,,,,
ST Collaborator,E. Valdes,,"Center for Space and Habitability, Gesellsschaftstrasse 6, 3012 Bern, Switzerland",,,,,,,
ST Collaborator,J. C. Morales,,Institut de Ciènces de l'Espai,,,,,,,
ST Collaborator,B. M. Morris,,"Center for Space and Habitability, Gesellsschaftstrasse 6, 3012 Bern, Switzerland",,,,,,,
ST Collaborator,A. Mustill,,"Lund Observatory, Dept. of Astronomy and Theoretical Physics, Lund University, Box 43, 22100 Lund, Sweden",,,,,,,
ST Collaborator,M. Oshagh,,"Instituto de Astrof\'\i sica de Canarias, 38200 La Laguna, Tenerife, Spain",,,,,,,
ST Collaborator,H. Parviainen,,"Instituto de Astrof\'\i sica de Canarias, 38200 La Laguna, Tenerife, Spain",,,,,,,
ST Collaborator,C. Persson,,Chalmers University of Technology,,,,,,,
ST Collaborator,F. Pozuelos,,Université de Liège,,,,,,,
ST Collaborator,N. Rosario,,"Instituto de Astrof\'isica e Ci\^encias do Espa\c{c}o, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal",,,,,,,
ST Collaborator,S. Salmon,,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
ST Collaborator,L. M. Serrano,,"Dipartimento di Fisica, Universit\`a degli Studi di Torino, via Pietro Giuria 1, I-10125, Torino, Italy",,,,,,,
ST Collaborator,T. Silva,,"Instituto de Astrof\'isica e Ci\^encias do Espa\c{c}o, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal",,,,,,,
