author,Orcid-ID,institute1,institute2,institute3,institute4,acknowledgement1,acknowledgement2,acknowledgement3,acknowledgement4
F. A. Pepe,,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
S. Cristiani,0000-0002-2115-523,"INAF - Osservatorio Astronomico di Trieste, via G. B. Tiepolo 11, I-34143 Trieste, Italy",,,,,,,
N. C. Santos,,"Instituto de Astrof\'isica e Ci\^encias do Espa\c{c}o, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal","Centro de Astrof\'{\i}sica da Universidade do Porto, Rua das Estrelas, 4150-762 Porto, Portugal","Departamento de F\'{\i}sica e Astronomia, Faculdade de Ci\^encias, Universidade do Porto, Rua Campo Alegre, 4169-007, Porto, Portugal",,,,,
P. Figueira,,"Instituto de Astrof\'isica e Ci\^encias do Espa\c{c}o, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal","European Southern Observatory, Alonso de Co\'ordova 3107, Vitacura, Regio\'on Metropolitana, Chile",,,,,,
S. G. Sousa,,"Instituto de Astrof\'isica e Ci\^encias do Espa\c{c}o, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal","Centro de Astrof\'{\i}sica da Universidade do Porto, Rua das Estrelas, 4150-762 Porto, Portugal",,,,,,
C. J. A. P. Martins,0000-0002-4886-9261,"Instituto de Astrof\'isica e Ci\^encias do Espa\c{c}o, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal","Centro de Astrof\'{\i}sica da Universidade do Porto, Rua das Estrelas, 4150-762 Porto, Portugal",,,,,,
N. J. Nunes,0000-0002-3837-6914,"Instituto de Astrof\'isica e Ci\^encias do Espa\c{c}o, Faculdade de Ci\^encias da Universidade de Lisboa, Campo Grande, PT1749-016 Lisboa, Portugal",,,,"N.J.N is supported by the contract and exploratory project
IF/00852/2015, and projects UID/FIS/04434/2019, PTDC/FIS-OUT/29048/2017,
COMPETE2020: POCI-01-0145-FEDER-028987 & FCT: PTDC/FIS-AST/28987/2017.","N.J.N is supported by the contract and exploratory project IF/00852/2015, and project PTDC/FIS-OUT/29048/2017.",,
C. Allende Prieto,,"Instituto de Astrof\'\i sica de Canarias, 38200 La Laguna, Tenerife, Spain","IF/00852/2015, and project PTDC/FIS-OUT/29048/2017.",,,,,,
A. Su\'arez Mascare\~no,,"Instituto de Astrof\'\i sica de Canarias, 38200 La Laguna, Tenerife, Spain","Departamento de Astrof\'\i sica, Universidad de La Laguna, 38206 La Laguna, Tenerife, Spain",,,,,,
C. Lovis,,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
S. Udry,,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
F. Bouchy,,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
D. Ehrenreich,,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
Y. Alibert,,"Physics Institute, University of Bern, Sidlerstrasse 5, 3012 Bern, Switzerland",,,,YA and JH acknowledge the Swiss National Science Foundation (SNSF) for supporting re- search through the SNSF grant 200020_192038,Part of this work has been carried out within the framework of the NCCR PlanetS supported by the SNSF,,
A. Sozzetti,0000-0002-7504-365X,"INAF - Osservatorio Astrofisico di Torino, via Osservatorio 20, 10025 Pino Torinese, Italy",,,,"This work has made use of data from the European Space Agency (ESA) mission {\it Gaia} (\url{https://www.cosmos.esa.int/gaia}), processed by the {\it Gaia} Data Processing and Analysis Consortium (DPAC, \url{https://www.cosmos.esa.int/web/gaia/dpac/consortium}). Funding for the DPAC has been provided by national institutions, in particular the institutions participating in the {\it Gaia} Multilateral Agreement.",,,
E. Poretti,,"Fundaci\'on G. Galilei -- INAF (Telescopio Nazionale Galileo), Rambla J. A. Fern\'andez P\'erez 7, E-38712 Bre\~na Baja, La Palma, Spain","INAF - Osservatorio Astronomico di Brera, Via E. Bianchi 46, I-23807 Merate, Italy",,,,,,
G. Micela,,"INAF - Osservatorio Astronomico di Palermo, Piazza del Parlamento 1, 90134, Palermo, Italy",,,,,,,
A. Mehner,,"European Southern Observatory, Alonso de Co\'ordova 3107, Vitacura, Regio\'on Metropolitana, Chile",,,,,,,
B. Lavie,,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
X. Dumusque,,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
R. Allart,0000-0002-1199-9759,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
S. C. C. Barros,,"Instituto de Astrof\'isica e Ci\^encias do Espa\c{c}o, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal","Departamento de F\'isica e Astronomia, Faculdade de Ci\^encias, Universidade do Porto, Rua do Campo Alegre, 4169-007 Porto, Portugal",,,,,,
M. Oshagh,0000-0002-0715-8789,"Instituto de Astrof\'\i sica de Canarias, 38200 La Laguna, Tenerife, Spain","Departamento de Astrof\'\i sica, Universidad de La Laguna, 38206 La Laguna, Tenerife, Spain",,,,,,
J.I. González Hernández,0000-0002-0264-7356,"Instituto de Astrof\'\i sica de Canarias, 38200 La Laguna, Tenerife, Spain","Departamento de Astrof\'\i sica, Universidad de La Laguna, 38206 La Laguna, Tenerife, Spain",,,"J.I.G.H. acknowledges financial support from Spanish Ministry of
Science and Innovation (MICINN) under the 2013 Ram\'on y Cajal 
programme RYC-2013-14875. 
J.I.G.H., A.S.M., R.R., and C.A.P. acknowledge financial support 
from the Spanish MICINN AYA2017-86389-P.
A.S.M. acknowledges financial support from the Spanish Ministry of
Science and Innovation (MICINN) under the 2019 Juan de la Cierva
Programme. ",,,
V. Bourrier,,"Observatoire Astronomique de l'Universit\'e de Gen\`eve, Chemin Pegasi 51, Versoix, Switzerland",,,,,,,
G. Lo Curto,,"European Southern Observatory, Alonso de Co\'ordova 3107, Vitacura, Regio\'on Metropolitana, Chile",,,,,,,
P. Di Marcantonio,0000-0003-3168-2289,"INAF - Osservatorio Astronomico di Trieste, via G. B. Tiepolo 11, I-34143 Trieste, Italy",,,,,,,
M. Damasso,,"INAF - Osservatorio Astrofisico di Torino, via Osservatorio 20, 10025 Pino Torinese, Italy",,,,,,,
R. Rebolo,,"Instituto de Astrof\'\i sica de Canarias, 38200 La Laguna, Tenerife, Spain","Departamento de Astrof\'\i sica, Universidad de La Laguna, 38206 La Laguna, Tenerife, Spain",,,,,,
M. R. Zapatero Osorio,,"Centro de Astrobiología (CSIC-INTA), Crta. Ajalvir km 4, E-28850 Torrejón de Ardoz, Madrid, Spain",,,,"M. R. Z. O. acknowledges financial support from projects AYA2016-79425-C3-2-P and PID2019-109522GB-C51 from the Spanish Ministry of Science, Innovation and Universities.",,,
V. Adibekyan,,"Instituto de Astrof\'isica e Ci\^encias do Espa\c{c}o, Universidade do Porto, CAUP, Rua das Estrelas, 4150-762 Porto, Portugal","Centro de Astrof\'{\i}sica da Universidade do Porto, Rua das Estrelas, 4150-762 Porto, Portugal","Departamento de F\'isica e Astronomia, Faculdade de Ci\^encias, Universidade do Porto, Rua do Campo Alegre, 4169-007 Porto, Portugal",,V.A. acknowledges the support from FCT through Investigador FCT contract nr.  IF/00650/2015/CP1273/CT0001.,,,
P. Molaro,,"INAF - Osservatorio Astronomico di Trieste, via G. B. Tiepolo 11, I-34143 Trieste, Italy","IFPU, Via Beirut 2, 34151 Grignano Trieste",,,,,,
