author,Orcid-ID,institute1,institute2,institute3,institute4,acknowledgement1,acknowledgement2,acknowledgement3,acknowledgement4
E. M. Bryant,,"Department of Physics, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK","Centre for Exoplanets and Habitability, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK",,,Based on data collected under the NGTS project at the ESO La Silla Paranal Observatory. The NGTS facility is operated by the consortium institutes with support from the UK Science and Technology Facilities Council (STFC) project ST/M001962/1.,,,
D. Bayliss,0000-0001-6023-1335,"Department of Physics, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK","Centre for Exoplanets and Habitability, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK",,,,,,
J. S. Acton,,"School of Physics and Astronomy, University of Leicester, Leicester LE1 7RH, UK",,,,,,,
D. R. Anderson,,"Department of Physics, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK","Centre for Exoplanets and Habitability, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK",,,,,,
M. R. Burleigh,,"School of Physics and Astronomy, University of Leicester, Leicester LE1 7RH, UK",,,,,,,
S. Chamberlain,,"School of Physics and Astronomy, University of Leicester, Leicester LE1 7RH, UK",,,,,,,
B. F. Cooke,,"Department of Physics, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK","Centre for Exoplanets and Habitability, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK",,,,,,
S. Gill,,"Department of Physics, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK","Centre for Exoplanets and Habitability, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK",,,,,,
E. Gillen\thanks{Winton Fellow},0000-0003-2851-3070,"Astronomy Unit, Queen Mary University of London, Mile End Road, London E1 4NS, UK","Cavendish Laboratory, JJ Thomson Avenue, Cambridge CB3 0HE, UK",,,EG gratefully acknowledges support from the David and Claudia Harding Foundation in the form of a Winton Exoplanet Fellowship.,,,
M. R. Goad,,"School of Physics and Astronomy, University of Leicester, Leicester LE1 7RH, UK",,,,,,,
"M. N. G{\""u}nther\thanks{Juan Carlos Torres Fellow}",0000-0002-3164-9086,"Department of Physics and Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA",,,,MNG ackowledges support from the MIT Kavli Institute as a Juan Carlos Torres Fellow,,,
A. E. Hogan,,"School of Physics and Astronomy, University of Leicester, Leicester LE1 7RH, UK",,,,,,,
J. S. Jenkins,0000-0003-2733-8725,"Departamento de Astronom\'ia, Universidad de Chile, Camino El Observatorio 1515, Las Condes, Santiago, Chile","Centro de Astrof\'isica y Tecnolog\'ias Afines (CATA), Casilla 36-D, Santiago, Chile",,,"JSJ acknowledges support by FONDECYT grant 1201371, and partial support from CONICYT project Basal AFB-170002.",,,
A. Jord\'an,0000-0002-5389-3944,"Facultad de Ingenier\'ia y Ciencias, Universidad Adolfo Ib\'{a}\~{n}ez, Av.\ Diagonal las Torres 2640, Pe\~{n}alol\'{e}n, Santiago, Chile","Millennium Institute for Astrophysics, Chile",,,AJ  acknowledges support from ANID – Millennium Science Initiative – ICN12\_009 and from FONDECYT project 1171208.,,,
M. Moyano,,"Instituto de Astronom\'ia, Universidad Cat\'olica del Norte, Angamos 0610, Antofagasta, Chile",,,,,,,
L. Raynard,,"School of Physics and Astronomy, University of Leicester, Leicester LE1 7RH, UK",,,,,,,
R. H. Tilbrook,,"School of Physics and Astronomy, University of Leicester, Leicester LE1 7RH, UK",,,,,,,
J. I. Vines,,"Camino El Observatorio 1515, Las Condes, Santiago, Chile",,,,JIV acknowledges support of CONICYT-PFCHA/Doctorado Nacional-21191829. ,,,
R. G. West,,"Department of Physics, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK","Centre for Exoplanets and Habitability, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK",,,,,,
P. J. Wheatley,0000-0003-1452-2240,"Department of Physics, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK","Centre for Exoplanets and Habitability, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK",,,,,,
D. Alves,,"Camino El Observatorio 1515, Las Condes, Santiago, Chile",,,,,,,
B. Henderson,,"School of Physics and Astronomy, University of Leicester, Leicester LE1 7RH, UK",,,,,,,
