author,Orcid-ID,institute1,institute2,institute3,institute4,acknowledgement1,acknowledgement2,acknowledgement3,acknowledgement4
C. A. Murray,0000-0001-8504-5862,"Cavendish Laboratory, JJ Thomson Avenue, Cambridge CB3 0HE, UK",,,,,,,
P. P. Pedersen,0000-0002-5220-609X,"Cavendish Laboratory, JJ Thomson Avenue, Cambridge CB3 0HE, UK",,,,,,,
S. Thompson,,"Cavendish Laboratory, JJ Thomson Avenue, Cambridge CB3 0HE, UK",,,,,,,
A. Triaud,0000-0002-5510-8751,"School of Physics \& Astronomy, University of Birmingham, Edgbaston, Birmingham, B15 2TT, UK",,,,"This research received funding from the MERAC foundation, from the European Research Council under the European Union’s Horizon 2020 research and innovation programme (grant agreement nº 803193/ BEBOP, and from the Science and Technology Facilites Council (STFC, grant nº ST/S00193X/1)",,,
M. Gillon,,"Astrobiology Research Unit, Universit\'e de Li\`ege, All\'ee du 6 Ao\^ut 19C, B-4000 Li\ège, Belgium",,,,MG and EJ are F.R.S.-FNRS Senior Research Associates. ,"SPECULOOS-South has received funding from the European Research Council under the European Union's Seventh Framework Programme (FP/2007-2013) ERC Grant Agreement n° 336480, from the ARC grant for Concerted Research Actions financed by the Wallonia-Brussels Federation, from the Balzan Prize Foundation, and from F.R.S-FNRS (Research Project ID T010920F)",,
D. Sebastian,,"School of Physics \& Astronomy, University of Birmingham, Edgbaston, Birmingham, B15 2TT, UK",,,,,,,
L. J. Garcia,0000-0002-4296-2246,"Astrobiology Research Unit, Universit\'e de Li\`ege, All\'ee du 6 Ao\^ut 19C, B-4000 Li\ège, Belgium",,,,,,,
E. Ducrot,,"Astrobiology Research Unit, Universit\'e de Li\`ege, All\'ee du 6 Ao\^ut 19C, B-4000 Li\ège, Belgium",,,,,,,
F. J. Pozuelos,0000-0003-1572-7707,"Astrobiology Research Unit, Universit\'e de Li\`ege, All\'ee du 6 Ao\^ut 19C, B-4000 Li\ège, Belgium","Space sciences, Technologies and Astrophysics Research (STAR) Institute, Universit{\'e} de Li{\`e}ge, All{\'e}e du 6 Ao{\^u}t 19C, 4000 Li{\`e}ge, Belgium",,,,,,
E. Jehin,,"Space sciences, Technologies and Astrophysics Research (STAR) Institute, Universit{\'e} de Li{\`e}ge, All{\'e}e du 6 Ao{\^u}t 19C, 4000 Li{\`e}ge, Belgium",,,,,,,
A. Burdanov,,"Astrobiology Research Unit, Universit\'e de Li\`ege, All\'ee du 6 Ao\^ut 19C, B-4000 Li\ège, Belgium","Department of Earth, Atmospheric and Planetary Science, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA 02139, USA",,,,,,
J. McCormac,,"Department of Physics, University of Warwick, Coventry, UK",,,,,,,
